Categoria;Número;Fondo;Entidad;Código SFC - 2015;Fecha de Incorporación;Link
Fondo Renta Fija Nacional Corto Plazo;1;ADCAP MULTIPLAZOS;ADCAP COLOMBIA S.A.;60509;2/09/2013;https://www.ad-cap.com.co/fondos-de-inversion/fic-renta-fija/
Fondo Renta Fija Nacional Corto Plazo;2;BBVA PLAZO 30;BBVA FIDUCIARIA S.A.;8686;1/03/2005;https://www.bbvaassetmanagement.com/am/am/co/ce/inversionista-particular/fondos-inversion/ficha/FPLA/fondo-de-inversion-abierto--bbva-plazo-30
Fondo Renta Fija Nacional Corto Plazo;3;FONVAL DEUDA CORPORATIVA;CREDICORP CAPITAL S.A.;58883;1/02/2002;https://www.credicorpcapitalcolombia.com/Gestion_de_Activos/Fondos_Locales/fonval_deuda_corporativa
Fondo Renta Fija Nacional Corto Plazo;4;CONFIRENTA;FIDUAGRARIA S.A.;4786;1/03/1993;https://www.fiduagraria.gov.co/confirenta/#fichas-tecnicas
Fondo Renta Fija Nacional Corto Plazo;5;ABIERTO FIDUCIARIA CENTRAL;FIDUCENTRAL S.A.;11714;13/11/1992;https://www.fiducentral.com/fondos-de-inversion/fondos-de-inversion/fondo-abierto-fiduciaria-central/ficha-tecnica-1
Fondo Renta Fija Nacional Corto Plazo;6;Fidurenta;FIDUCIARIA BANCOLOMBIA S.A.;2971;1/11/1994;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondo Renta Fija Nacional Corto Plazo;7;Rentar 30;FIDUCIARIA POPULAR S.A.;31508;13/12/2013;https://www.fidupopular.com.co/wps/portal/fiduciaria-popular/bienvenidos/fondos-inversion/rentar-30#tab3
Fondo Renta Fija Nacional Corto Plazo;8;FIC OCCIBONOS;FIDUOCCIDENTE S.A.;9453;11/10/1993;https://www.fiduoccidente.com/wps/portal/fiduciaria-occidente/fiduoccidente/fiducia-inversion/fondos-inversion-colectiva/occibonos
Fondo Renta Fija Nacional Corto Plazo;9;EFECTIVO A PLAZO;FIDUPREVISORA S.A.;11403;1/08/2008;http://www.fiduprevisora.com.co/seccion/fic-abierto-efectivo-a-plazos.html
Fondo Renta Fija Nacional Corto Plazo;10;Itaú Corto Plazo;ITAU ASSET MANAGEMENT;48153;1/02/1992;https://www.itau.co/personal/inversion/fondos-de-inversion/itau-corto-plazo/fichas-tecnicas
Fondo Renta Fija Nacional Corto Plazo;11;ESPARTA 30 ;ULTRASERFINCO S.A.;58436;17/03/1999;https://www.ultraserfinco.com/site/Productosyservicios/FondosdeInversi%C3%B3nColectiva/FondosdeInversi%C3%B3nColectivadeRentaFija/Esparta30.aspx
Fondo Renta Fija Nacional Mediano Plazo;1;FIC ACCIVAL RENTA FIJA 180;ACCIONES Y VALORES S.A;80428;22/10/2018;https://www.accivalores.com/component/edocman/fondos/fondo-accival-renta-fija-180/ficha-tecnica-renta-fija-180/2019
Fondo Renta Fija Nacional Mediano Plazo;2;ADCAP RENTA FIJA COLOMBIA;ADCAP COLOMBIA S.A.;60510;2/03/2013;https://www.ad-cap.com.co/fondos-de-inversion/fic-renta-fija/
Fondo Renta Fija Nacional Mediano Plazo;3;Deuda Privada;BTG PACTUAL S.A.;58877;28/08/2015;https://www.btgpactual.com.co/fichas-tecnicas-nuevas/
Fondo Renta Fija Nacional Mediano Plazo;4;FIC Multiescala;CORREDORES DAVIVIENDA S.A;59076;29/08/2005;https://www.daviviendacorredores.com/2015/11/fondo-de-inversion-colectiva-multiescala/
Fondo Renta Fija Nacional Mediano Plazo;5;RENTAPAIS;FIDUAGRARIA S.A.;82718;29/01/2019;https://www.fiduagraria.gov.co/rentapais/#fichas-tecnicas
Fondo Renta Fija Nacional Mediano Plazo;6;Plan Semilla;FIDUCIARIA BANCOLOMBIA S.A.;3049;4/10/1993;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondo Renta Fija Nacional Mediano Plazo;7;Deuda Corporativa;FIDUCIARIA CORFICOLOMBIANA S.A.;76412;25/06/2011;https://www.fiduciariacorficolombiana.com/wps/portal/fiducorficolombiana/inicio/fiducia-inversion/fondos-inversion-colectiva/deuda-corporativa/!ut/p/a1/jdBfb4IwFAXwT8Oj9JRWbPZWAyJGQrZBxL4YMFhJkBpkI_v2Y2bJYpx_7tu9-Z3k5BJFMqKa_LPSeVeZJq9_duVuJmLJaRhjEcy5j1chE09GlAaJO4D1AOJQcEpBIzFdAtJjqeDp1EEwfi6PGyPxKL8i6kz-GnigkAnzY1CXhe_sClxXvASYRXwAfjwbS8cJ3vAL7pRcEKVrU5wftpZNwYQmqi13ZVu29kc7nPdddzy9WLDQ972tjdF1aW_NwcJ_kb05dSS7lOR4SDNU4UgVX_03D3j8zQ!!/#horizontalTab2
Fondo Renta Fija Nacional Mediano Plazo;8;Daviplus Renta Fija Pesos;FIDUCIARIA DAVIVIENDA;9792;1/12/1997;https://fidudavivienda.davivienda.com/wps/portal/fidudavivienda/inicio/F_Productos_y_Servicios/F_Carteras_Colectivas/daviplusrentafijapesos/!ut/p/z1/pVJdT8IwFP0r82FPJutlH2z4NhAHCEpkgOuLGaUbNayd7WD67-2WaGKiC4n37bbnnJ6eexFGzwjz9MzytGKCp0fdJ7j_4kA0f5gN7cUoWAUQToPbGJZjB-49tG0BbuQ_TgZ3T4uwP3FhGrvT8eN46UAMCP-HP_cv48MfFV74fgcAd8tvUDJESXY9Wca1FsMtviuOTkDz3xYQBvFqcx_1IBp4NkyX82G8HoITzb4UOizNEGa7wqpJYYFl9z3b9m3f8_3BwPE9txlpyHdOkCMsaUYlldZJ6kkfqqpUNyaYUNe1lQuRH6lFRGHCb5SDUBV6_olEiQ7T_zPMUQ9tz4zWaM2FLPRyrVAy-s5u0hrvnoX2wV7f3nCIMBG8ou-NBVK8ZGx_2uu11ep8n5pwEAVtzghLJdN9C-ZsL5QJpRT6ohLK-DAUlWdGWHPc0MvjSRkyK01gPNMWqTIyxlNOGJUtPmPkkCqjooQzkipUFmtdvP80zhaVt_Ny7uIkvLr6BBp5BgQ!/dz/d5/L2dBISEvZ0FBIS9nQSEh/
Fondo Renta Fija Nacional Mediano Plazo;9;FIC Fiducoldex 60 Moderado;FIDUCOLDEX S.A.;62633;27/04/2016;https://fics.fiducoldex.com.co/60moderado
Fondo Renta Fija Nacional Mediano Plazo;10;Itaú Mediano Plazo;ITAU ASSET MANAGEMENT;10650;19/01/1994;https://www.itau.co/personal/inversion/fondos-de-inversion/itau-mediano-plazo/fichas-tecnicas
Fondo Renta Fija Nacional Mediano Plazo;11;ESPARTA 180;ULTRASERFINCO S.A.;58439;15/03/2002;https://www.ultraserfinco.com/site/Productosyservicios/FondosdeInversi%C3%B3nColectiva/FondosdeInversi%C3%B3nColectivadeRentaFija/Esparta180.aspx
Fondo de Renta Fija Nacional de Largo Plazo;1;FONVAL RENTA FIJA COLOMBIA;CREDICORP CAPITAL S.A.;58897;26/06/2015;https://www.credicorpcapitalcolombia.com/Gestion_de_Activos/Fondos_Locales/fonval_deuda_corporativa_mp
Fondo de Renta Fija Nacional de Largo Plazo;2;Renta Fija Plazo;FIDUCIARIA BANCOLOMBIA S.A.;3814;1/12/2004;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondo de Renta Fija Nacional de Largo Plazo;3;ÓPTIMO;FIDUCIARIA BOGOTA S.A.;29495;8/03/2001;https://www.fidubogota.com/wps/themes/html/fidubogota/optimo-preferente-y-premium.html#undefined3
Fondo de Renta Fija Nacional de Largo Plazo;4;Itaú Largo Plazo;ITAU ASSET MANAGEMENT;15397;14/04/2010;https://www.itau.co/empresas/inversion/fondos-de-inversion/itau-largo-plazo/fichas-tecnicas
Fondo Accionario Nacional;1;FIC ACCIVAL ACCIONES NACIÓN;ACCIONES Y VALORES S.A.;58735;26/11/2013;https://www.accivalores.com/global/soluciones/fondos-de-inversion-colectiva/fondo-accival-acciones-nacion
Fondo Accionario Nacional;2;FONDO ACCIONES Colombia;ALIANZA FIDUCIARIA S.A.;67403;19/08/2010;https://www.alianza.com.co/fichas-tecnicas?curFolderId=33871
Fondo Accionario Nacional;3;Acciones Colombia;BTG PACTUAL S.A.;58699;1/02/2007;https://www.btgpactual.com.co/fichas-tecnicas-nuevas/
Fondo Accionario Nacional;4;FIC Acción;CORREDORES DAVIVIENDA S.A.;59079;29/11/1992;https://www.daviviendacorredores.com/2015/11/fondo-de-inversion-colectiva-accion/
Fondo Accionario Nacional;5;FONVAL ACCIONES DINAMICO;CREDICORP CAPITAL S.A.;59105;26/04/2012;https://www.credicorpcapitalcolombia.com/Gestion_de_Activos/Fondos_Locales/fonval_acciones_dinamico
Fondo Accionario Nacional;6;FONVAL ACCIONES VALOR;CREDICORP CAPITAL S.A.;58907;13/11/2013;https://www.credicorpcapitalcolombia.com/Gestion_de_Activos/Fondos_Locales/Fonval_acc_valor
Fondo Accionario Nacional;7;Renta Acciones;FIDUCIARIA BANCOLOMBIA S.A.;3644;1/12/2004;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondo Accionario Nacional;8;FIDUACCIÓN;FIDUCIARIA BOGOTA S.A.;29496;20/09/2004;https://www.fidubogota.com/wps/themes/html/fidubogota/fiduaccion-preferente-y-premium.html#undefined3
Fondo Accionario Nacional;9;Acciones Plus;FIDUCIARIA CORFICOLOMBIANA S.A.;76414;5/07/2011;https://www.fiduciariacorficolombiana.com/wps/portal/fiducorficolombiana/inicio/fiducia-inversion/fondos-inversion-colectiva/acciones-plus/!ut/p/a1/jdBba4NAEAXgX-Nj3LPumix92-ClhoikjcTsS9BgN4Jxg7GV_vvaUCgh13mb4TtwGKJIRlSTf1U67yrT5PXvrsabiZhzGiWYha_cx0LIpSdjSsPAHcB6AEkkOKWgsZjOAemxVPB06iB0n8vjxkg8yq-IOpH_Bh4o5JL5CeiYRe_sAlxWPAcIYj4APwlc6TjhG_7AnZIzonRtitPD1rIpmNBEteVH2Zat_dkO513XHY4vFiz0fW9rY3Rd2luzt3AtsjPHjmTnkhz2aYYqGqniu_8BmwrS9g!!/#horizontalTab2
Fondo Accionario Nacional;10;SERFINCO ACCIONES;ULTRASERFINCO S.A.;58438;10/04/2003;https://www.ultraserfinco.com/site/Productosyservicios/FondosdeInversi%C3%B3nColectiva/FondosdeInversi%C3%B3nColectivadeRentaVariable/ULTRASERFINCOAcciones.aspx
Fondo Accionario Nacional;11;Renta Variable Colombia;VALORES BANCOLOMBIA S.A.;59738;5/12/2011;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondo Balanceado Menor Riesgo Local;1;ES+;FIDUCIARIA BOGOTA S.A.;54077;26/02/2016;https://www.fidubogota.com/wps/themes/html/fidubogota/esmas-reglamentos.html#undefined2
Fondo Balanceado Menor Riesgo Local;2;Estrategia Moderada;FIDUCIARIA CORFICOLOMBIANA S.A.;76410;24/10/2014;https://www.fiduciariacorficolombiana.com/wps/portal/fiducorficolombiana/inicio/fiducia-inversion/fondos-inversion-colectiva/estrategia-moderada/!ut/p/a1/jdBRa4MwFAXgX-NjzYmJNuwtRessFdlWqeZl6HCpoKZYW9m_nyuDUbp2u2_38h04XKJIRlRXnGpdDLXpiuZrV97rXKw5jRKswkce4EnIjS9jSoXjTSCfQBIJTiloLBZrQPosFTxdOAjd_-VxYyT-ym-JOpOfBj4o5IYFCajHohd2Ba4rXgIsYz6BIFm60nHCZ3yDOyVXROnGlOeH5bIrmdBE9dV71Ve9feyn824Y9ocHCxbGcbS1Mbqp7DfTWvgtsjOHgWSXkuzbNEMdzVT5MX4COfy2HQ!!/#horizontalTab2
Fondo Balanceado Menor Riesgo Local;3;PERFIL CONSERVADOR;ULTRASERFINCO S.A.;60117;14/11/2012;https://www.ultraserfinco.com/site/Productosyservicios/FondosdeInversi%C3%B3nColectiva/FondosdeInversi%C3%B3nColectivaAlternativas/Perfiles/Conservador.aspx
Fondo Accionario Internacional;1;Acciones Internacionales;BTG PACTUAL S.A.;71258;18/08/2017;https://www.btgpactual.com.co/fichas-tecnicas-nuevas/
Fondo Accionario Internacional;2;FONVAL ACCIONES RECURSOS NATURALES;CREDICORP CAPITAL S.A.;58916;23/06/2010;https://www.credicorpcapitalcolombia.com/Gestion_de_Activos/Fondos_Locales/fonval_acciones_petroleras
Fondo Accionario Internacional;3;FONVAL GLOBAL ACCIONES;CREDICORP CAPITAL S.A.;58918;8/06/2010;https://www.credicorpcapitalcolombia.com/Gestion_de_Activos/Fondos_Colectiva/fonval_global_acciones
Fondo Accionario Internacional;4;Acciones Globales;FIDUCIARIA CORFICOLOMBIANA S.A.;76413;11/07/2013;https://www.fiduciariacorficolombiana.com/wps/portal/fiducorficolombiana/inicio/fiducia-inversion/fondos-inversion-colectiva/acciones-globales/!ut/p/a1/jdDdaoNAEAXgp_Gy7hl3ky6926CxhsjSNhKzN0GD3QjGDcZW-va1oVBC-jd3M3wHDsMMy5lpi9faFn3t2qL52M10eyuXghKNRXwvIjxItQpVSiQ1jWAzAp1IQQRK5WwJqJBnUmSzAPHkf3n8MAp_5dfMnMlXgxAEteKRBk158sSvwHXFS4B5KkYQ6flEBUH8iE_wS8kFM7Zx5flhG9WWXFpmuuq56qrOf-nG877vj6c7Dx6GYfCtc7ap_J07ePgusnennuWXkh0PWY46uTHl2_AOTVPDfg!!/#horizontalTab2
Fondo Accionario Internacional;5;Renta Alta Convicción;VALORES BANCOLOMBIA S.A.;63301;20/06/2016;https://assetmanagement.grupobancolombia.com/wps/portal/asset-management/productos-servicios/fondos-inversion-colectiva/fichas-tecnicas-fondos-inversion
Fondo Balanceado Mayor Riesgo Global;1;BBVA ESTRATEGIA BALANCEADO GLOBAL;BBVA FIDUCIARIA S.A.;69368;24/04/2017;https://www.bbvaassetmanagement.com/am/am/co/ce/inversionista-particular/fondos-inversion/colectiva-am-estategia/balanceado-global/index.jsp#ftec
Fondo Balanceado Mayor Riesgo Global;2;FIC CPP VALOR ESTRATÉGICO;FIDUPREVISORA S.A.;80265;29/10/2018;http://www.fiduprevisora.com.co/seccion/fic-valor-estrategico.html
